dept_id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_frentes,qt_coordenacoes,qt_presidencias,ranking_frentes
160642,Pastor Eurico,PSDB,PE,157,0,0,415
220682,Tadeu Veneri,PT,PR,157,2,0,416
204502,Bozzella,UNIÃO,SP,156,3,0,417
204498,Olival Marques,MDB,PA,156,0,0,418
204399,Schiavinato,PP,PR,156,1,0,419
66828,Fausto Pinato,PP,SP,156,5,0,420
220613,Roberto Monteiro Pai,PL,RJ,156,0,0,421
220568,Gustavo Gayer,PL,GO,155,2,0,422
204432,Marina Santos,REPUBLICANOS,PI,155,0,0,423
204555,José Ricardo,PT,AM,154,0,0,424
204531,Guilherme Derrite,PL,SP,154,0,0,425
204457,Juninho Do Pneu,PSDB,RJ,154,2,0,426
74270,Gilberto Nascimento,PODE,SP,154,2,0,427
160527,Aguinaldo Ribeiro,PP,PB,154,0,0,428
204467,Professora Rosa Neide,PT,MT,154,1,0,429
204356,Amaro Neto,REPUBLICANOS,ES,153,0,0,430
133968,Paulo Ramos,PDT,RJ,153,1,0,431
204541,Eduardo Bismarck,PV,CE,152,1,0,432
157130,Túlio Gadêlha,PSD,PE,152,1,0,433
204447,Flordelis,PSD,RJ,152,0,0,434
74848,Jandira Feghali,PCDOB,RJ,152,0,0,435
220666,Coronel Meira,PL,PE,152,2,0,436
204490,Charlles Evangelista,PP,MG,151,1,0,437
204506,Marcos Pereira,REPUBLICANOS,SP,151,3,0,438
204478,Vinicius Farah,UNIÃO,RJ,151,0,0,439
198783,Emanuel Pinheiro Neto,PSD,MT,151,0,0,440
204567,Raimundo Costa,PODE,BA,151,1,0,441
74537,Claudio Cajado,PP,BA,151,2,0,442
178909,Hélio Leite,UNIÃO,PA,151,0,0,443
220616,Luciano Vieira,PSDB,RJ,151,1,0,444
146307,Neri Geller,PP,MT,150,0,0,445
74305,Roberto Pessoa,PSDB,CE,150,3,0,446
204544,Alexandre Frota,PROS,SP,150,0,0,447
204529,Policial Katia Sastre,PL,SP,150,0,0,448
204383,Professor Israel Batista,PSB,DF,150,2,0,449
204561,Bira Do Pindaré,PSB,MA,149,1,0,450
220577,Augusto Puppio,MDB,AP,149,1,0,451
123756,Antônia Lúcia,MDB,AC,149,2,0,452
213274,Ricardo Silva,PSD,SP,148,0,0,453
160639,Professora Dorinha Seabra Rezende,UNIÃO,TO,148,0,0,454
81297,Dra. Soraya Manato,PTB,ES,148,0,0,455
73696,Angela Amin,PP,SC,148,0,0,456
