id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_votacoes,qt_ausencias,pc_ausencia
226075,Priscila Costa,PL,CE,141,0,0.0
227275,Mariana Carvalho,REPUBLICANOS,MA,87,0,0.0
229106,Carla Ayres,PT,SC,76,0,0.0
228272,Délio Pinheiro,PDT,MG,57,0,0.0
228616,Dr. Remy Soares,PP,MA,67,0,0.0
227800,Duarte Gonçalves Jr,REPUBLICANOS,MG,66,0,0.0
229082,Lucyana Genésio,PDT,MA,57,0,0.0
227800,Duarte Gonçalves Jr,PODE,MG,5,0,0.0
220623,Duda Salabert,PSOL,MG,11,0,0.0
178966,Geovania De Sá,REPUBLICANOS,SC,1,0,0.0
204574,Junior Lourenço,MDB,MA,11,0,0.0
123756,Antônia Lúcia,MDB,AC,11,0,0.0
178866,Luizianne Lins,REDE,CE,17,0,0.0
220603,Dani Cunha,PL,RJ,18,0,0.0
204353,Aline Gurgel,UNIÃO,AP,13,0,0.0
178929,Diego Garcia,UNIÃO,PR,1,0,0.0
235088,Ribeiro Neto,PRD,MA,64,0,0.0
235712,Vavá,AVANTE,MG,18,0,0.0
62881,Danilo Forte,PP,CE,16,0,0.0
235088,Ribeiro Neto,SOLIDARIEDADE,MA,14,0,0.0
175765,Ribamar Silva,PODE,SP,1,0,0.0
220544,Antonio Andrade,PSDB,TO,1,0,0.0
165470,Rodrigo Valadares,PL,SE,12,0,0.0
204533,Idilvan Alencar,PDT,CE,1010,0,0.0
204540,Maria Rosas,REPUBLICANOS,SP,1311,0,0.0
179000,Marcelo Álvaro Antônio,PL,MG,1071,0,0.0
179000,Marcelo Álvaro Antônio,UNIÃO,MG,17,0,0.0
179000,Marcelo Álvaro Antônio,,MG,43,0,0.0
204551,Bosco Saraiva,SOLIDARIEDADE,AM,252,0,0.0
204542,Denis Bezerra,PSB,CE,445,0,0.0
74057,Alice Portugal,PCDOB,BA,1550,1,0.06
74400,Paulo Pimenta,PT,RS,878,1,0.11
74585,Lincoln Portela,PL,MG,1315,0,0.0
204360,Silvia Cristina,PL,RO,688,0,0.0
204362,Ricardo Guidi,PSD,SC,518,0,0.0
204360,Silvia Cristina,PDT,RO,131,0,0.0
160517,Paulo Folletto,PSB,ES,1075,1,0.09
74784,Luiza Erundina,PSOL,SP,1250,0,0.0
133968,Paulo Ramos,PDT,RJ,398,0,0.0
204548,Heitor Freire,,CE,47,0,0.0
204548,Heitor Freire,UNIÃO,CE,328,0,0.0
