part_sg_partido,desp_tx_segmento_despesa,desp_tx_tipo_despesa,data_nr_ano,data_tx_ano_mes,part_qt_responsaveis,part_qt_deputados,part_qt_documentos,part_qt_fornecedores,part_vl_total_documento,part_vl_total_glosa,part_vl_total_liquido,part_vl_medio_liquido,part_pc_participacao_segmento
AVANTE,Comunicação,Telefonia,2022,2022-03,4,4,10,5,4235.61,440.33,3795.28,291.944615,2.28
AVANTE,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",2022,2022-03,3,3,9,8,2553.75,318.00,2235.75,248.416667,1.34
AVANTE,Combustível,Combustíveis E Lubrificantes.,2022,2022-03,6,6,102,72,31031.15,196.39,30834.76,302.301569,18.54
AVANTE,Viagens,Passagem Aérea - Rpa,2022,2022-03,2,2,9,3,6051.15,0.00,6051.15,672.350000,3.64
AVANTE,Outros,"Passagens Terrestres, Marítimas Ou Fluviais",2022,2022-03,1,1,4,3,651.66,0.00,651.66,162.915000,0.39
AVANTE,Outros,"Serviço De Táxi, Pedágio E Estacionamento",2022,2022-04,1,1,25,5,334.42,0.00,334.42,13.376800,0.16
AVANTE,Locomoção,Locação Ou Fretamento De Veículos Automotores,2022,2022-04,4,4,7,6,23890.74,0.00,23890.74,3412.962857,11.36
AVANTE,Viagens,Passagem Aérea - Sigepa,2022,2022-04,5,5,38,0,59321.92,0.00,59321.92,1379.579535,28.21
AVANTE,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",2022,2022-04,2,2,9,7,3105.50,0.00,3105.50,345.055556,1.48
AVANTE,Outros,Serviços Postais,2022,2022-04,4,4,2,2,2620.39,0.00,2620.39,238.217273,1.25
AVANTE,Serviços profissionais,"Consultorias, Pesquisas E Trabalhos Técnicos.",2022,2022-04,3,3,4,4,32279.00,0.00,32279.00,8069.750000,15.35
AVANTE,Viagens,Passagem Aérea - Reembolso,2022,2022-04,1,1,1,1,310.00,0.00,310.00,310.000000,0.15
AVANTE,Outros,"Passagens Terrestres, Marítimas Ou Fluviais",2022,2022-04,1,1,4,4,1106.41,432.52,673.89,168.472500,0.32
AVANTE,Publicidade,Divulgação Da Atividade Parlamentar.,2022,2022-04,3,3,10,10,35234.30,0.00,35234.30,3523.430000,16.75
AVANTE,Comunicação,Telefonia,2022,2022-04,3,3,11,4,4396.37,495.45,3900.92,300.070769,1.85
AVANTE,Viagens,Passagem Aérea - Rpa,2022,2022-04,2,2,2,2,2010.86,0.00,2010.86,1005.430000,0.96
AVANTE,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,2022,2022-04,5,5,11,11,17231.93,202.44,17029.49,1548.135455,8.10
AVANTE,Combustível,Combustíveis E Lubrificantes.,2022,2022-04,6,6,96,70,29786.97,187.12,29599.85,308.331771,14.07
AVANTE,Outros,Serviços Postais,2022,2022-05,5,5,1,1,355.52,0.00,355.52,39.502222,0.13
AVANTE,Combustível,Combustíveis E Lubrificantes.,2022,2022-05,5,5,83,64,23972.29,274.08,23698.21,285.520602,8.42
AVANTE,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,2022,2022-05,5,5,18,14,30339.41,251.55,30087.86,1671.547778,10.69
